prompt,Source,JP Answer,Notes,"Bot current capability expectations; assuming we have Bot Guide correct, the Bot...",How good of a test for the Bot is this question?,Applies to:,alejo_notes,rating
What's the right wording for a vacation policy,Email to JP,,,Should be able to answer with current resources,5 - Bot should easily answer,Anyone,,0
What is the difference between advocacy and lobbying? (when it comes to fiscal sponsorship),Email to JP,"501(c)(3) organizations can engage in some lobbying, but it cannot be a ""substantial part"" of activities. This is generally interpreted as roughly 5% of time and resources, though the IRS uses a vague ""facts and circumstances"" test. Both direct lobbying (contacting legislators) and grassroots lobbying (urging the public to contact legislators) count toward these limits. 
The IRS is intentionally very vague about this stuff. I would need to know a little more about the types of activities you plan to do before I could say if they fit within appropriate limits. ",Claude gave a really long answer at first that had a lot of assumptions. Had to do a lot of editing to get it to this. ,Would need resources to answer well,3 - Would be difficult but manageable for the Bot,Anyone,,0
Do you have a template replacement receipt for reimbursements where the person lost or couldn't get a receipt?,SW Meeting,,,Should be able to answer with current resources,5 - Bot should easily answer,Anyone,,0
Has anyone had a grant from the UK government and dealt with UK Spend requirements? Would love to pick your brain.,EA Ops Slack,,Would need to build resource for bot,Would need resources to answer well,3 - Would be difficult but manageable for the Bot,Anyone,,0
"Does anyone know how an OpenPhil Career transition grant is treated with respect to taxation in the UK, or know somewhere I could find out this information?",EA Ops Slack,"You may need to talk to a tax consultant. It depends on whether it was structured as a research grant (which would be taxable income to put on a self-assessment) or as something like training (possibly non-taxable, though not by default).
My understanding (again, talk to a tax professional) is that training/education support is possibly non-taxable, and that payment for services/professional work (i.e., you are a researcher being paid to do research or there is an expected deliverable) is likely taxable.
Insert all kinds of disclaimers about not being a tax consultant, and you should talk to a tax consultant here.",,Would need resources to answer well,"2 - Bot might be able to help, but expect struggles or mistakes",Anyone,,0
"Would anyone be willing to share what their process is for handling the inboxes of departed employees? e.g. set up an autoforward to their manager for a set period of time, give their log in to someone else for a set period of time, use Google takeout or similar to preserve the emails, archive/delete the account straight away",EA Ops Slack,,"Bot maybe could answer on its own, we can test. 

If it doesn't answer well we would need to build a resource. ",Should be able to answer without resources,"4 - Bot should be able to handle with few errors, mistakes",Anyone,,0
Transferring IP from UK Non-Profit CLG to a US 501(c)(3). What do I need to do to transfer IP to wind down one entity and spin it into another?,EA Ops Slack,I have a Transfer Agreement that would help with this that the bot could have access to. ,,Would need resources to answer well,"2 - Bot might be able to help, but expect struggles or mistakes",Anyone,,0
"Hi everyone! Does someone have some good recos/resources around how to think about location-based compensation, and salary bands across different grades?",EA Ops Slack,,Would need to build resource for bot,Would need resources to answer well,"4 - Bot should be able to handle with few errors, mistakes",Anyone,,0
"Seeking advice re: moving file-share system to Shared Drives in Google Workspace
Hi everyone, I know there've been threads on adjacent topics before, but they seemed to have a somewhat broader scope to our situation. Currently, most of our files are in a Shared Folder owned by a central account in our Google Workspace. Many of the subfolders and files within are owned by different users. We'd like to move these to Shared Drives.
I don't want to change anything aside from move all the high-level subfolders within the Shared Folder into Shared Drives. Some of the high-level subfolders would go into an org-wide Shared Drive, while others would go into team-specific Shared Drives. My intent is to simply give all our managers the necessary permissions and ask them to move subfolders from their corner of the Shared Folder into Shared Drives. What should I be looking out for here? Any tips or best practice notes from others who have done the same thing?
Key pitfalls I'm already aware of are:
Specific subfolder permissions won't carry over. All members of the Shared Drive will be able to see everything within it unless a content manager of the Shared Drive goes and specifically changes permissions. We'll need to look out for these where sensitive subfolders are concerned. 
Forms with file upload questions will need to stay in My Drive as Shared Drives can't house these for some reason.
Thanks so much for your help :slightly_smiling_face:",EA Ops Slack,,,Should be able to answer without resources,5 - Bot should easily answer,Anyone,,0
"Does anyone know, if an org has an outstanding Google Ads balance and doesn't pay it, what are the consequences?",EA Ops Slack,,,Should be able to answer without resources,"4 - Bot should be able to handle with few errors, mistakes",Anyone,,0
